,id,address,categories,city,name,province,websites,lowerNames,cleanCategories,lowerCity
7229,AWldSMYgIxWefVJwK9b1,4500 North Oracle Road,Fast Food Restaurant,Tucson,Burger King®,AZ,http://www.bk.com/,burger king,[],tucson
7230,AVwdVY_skufWRAb54z2b,666 S Stone Ave,"Fast Food Restaurant,Ice Cream Shop",Superior,Dairy Queen,AZ,http://www.dairyqueen.com/,dairy queen,['ice cream'],superior
7231,AVwdRTLm_7pvs4fz4G8a,1870 N Zaragoza Rd,"Restaurant,Carry-out food,Hot dog restaurants,Fast Food Restaurant,American restaurants,Hamburger restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",El Paso,Burger King,TX,"https://locations.bk.com/tx/el-paso/1870-zaragoza-rd.html,http://www.bk.com/",burger king,"['hamburgers', 'hot dog', 'carry out', 'american', 'hot dogs', 'hamburger']",el paso
7232,AVwdz3pDByjofQCxstlr,490 S Washington St,"Ice Cream Parlors,Carry-out food,Restaurant,Fast Food Restaurant,Dessert Shops,American restaurants,Ice Cream Store,Ice cream and frozen desserts-retail,Restaurants,Ice Cream Shop",New Bremen,Dairy Queen,OH,"https://www.dairyqueen.com/us-en/Locator/Detail/?localechange=1&store-id=10938,http://www.dairyqueen.com/",dairy queen,"['carry out', 'american', 'ice cream store', 'ice cream parlors', 'ice cream', 'dessert', 'frozen desserts retail']",new bremen
7233,AVwdQgqOByjofQCxnM2a,728 N Galloway Ave,"Fast Food Restaurant and Fried Chicken Joint,Restaurant,Fried Chicken Joint,Fast Food Restaurant,Take Out Restaurants,Fast Food Restaurants,Chicken Restaurants,Catering,Restaurants",Mesquite,Churchs Chicken,TX,http://www.churchs.com/,churchs chicken,"['take out', 'chicken', 'fried chicken joint', 'catering', 'and fried chicken joint']",mesquite
7234,AV1mwwr63-Khe5l_OKyt,2715 Grandview Ave,"Fast Food Restaurant,wich Place,Sandwich Place",Greensboro,SUBWAY,NC,http://subway.com/,subway,"['sandwich', 'wich']",greensboro
7235,AV5_zNs53-Khe5l_XM27,2249 Lincoln Hwy E,"Carry-out food,Delicatessens,Take Out Restaurants,Fast Food Restaurants,Karaoke,Sandwiches,Restaurants,Sandwich Shops",Lancaster,SUBWAY,PA,http://www.subway.com/,subway,"['take out', 'delicatessens', 'sandwiches', 'carry out', 'karaoke', 'sandwich']",lancaster
7236,AVweHAPw_7pvs4fzAHu_,212 Allegheny Blvd,"Hamburgers & Hot Dogs,Restaurant,Carry-out food,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast Food Restaurants,Karaoke,Hamburgers and Hot Dogs,Restaurants",Brookville,Burger King,PA,http://www.bk.com/,burger king,"['hamburgers', 'hot dog', 'carry out', 'hot dogs', 'karaoke', 'hamburger']",brookville
7237,AVwdJusuIN2L1WUfsvJI,7218 W 10th St,"Pizza,Italian Restaurant,Restaurant,Fast Food Restaurant,Take Out Restaurants,Pasta,Family Style Restaurants,Restaurants,Italian Restaurants",Indianapolis,Fazolis,IN,"http://www.fazolis.com/,http://locations.fazolis.com/in/indianapolis/7218-west-10th-street.html,https://locations.fazolis.com/in/indianapolis/7218-west-10th-street.html",fazolis,"['take out', 'family style', 'italian', 'pasta', 'pizza']",indianapolis
7238,AVzozR3h3D1zeR_xCjPr,76 N Plank Rd,"Restaurant,Fast Food Restaurant,wich Place,Sandwich Place",Newburgh,SUBWAY,NY,http://subway.com/,subway,"['sandwich', 'wich']",newburgh
7239,AV0aSTeWFcQ3k02bExzv,244 W Morton Ave,"Restaurant,Fried Chicken Joint,Fast Food Restaurant,Fast Food,Food & Entertainment,Catering,Restaurants",Jacksonville,KFC,IL,"https://www.kfc.com/store-locator?query=62650,http://www.kfc.com/",kfc,"['catering', 'entertainment', 'fried chicken joint']",jacksonville
